motion,method,pkl_file,source_reference_file,seed_policy,gmr_seeded,frames_original,frames_robot,fps_original,fps_robot,target_fps,scale_human_to_robot,robot_leg_length_m,kinematic_success,failure_reasons,warnings,qpos_width,model_nq,qpos_valid,joint_limit_available,joint_limit_violation_frames,joint_limit_violation_ratio,joint_limit_violation_count,max_joint_limit_violation_rad,joint_limit_top_violations,similarity_available,human_leg_length_m,shared_keypoint_count,root_relative_keypoint_error_mm,bone_direction_error_deg,end_effector_relative_error_mm,pelvis_root_relative_error_mm,head_root_relative_error_mm,left_hand_root_relative_error_mm,right_hand_root_relative_error_mm,left_foot_root_relative_error_mm,right_foot_root_relative_error_mm,left_knee_root_relative_error_mm,right_knee_root_relative_error_mm,left_elbow_root_relative_error_mm,right_elbow_root_relative_error_mm,normalized_root_trajectory_error,root_velocity_direction_error_deg,root_speed_profile_error,root_yaw_change_error_deg,motion_duration_error_s,motion_duration_error_ratio,foot_contact_timing_mismatch_ratio,keypoint_velocity_peak_timing_error_s,contact_metrics_available,foot_skating_frames,foot_skating_distance_m,foot_skating_mean_velocity_mps,foot_penetration_max_m,foot_penetration_mean_m,foot_penetration_frames,contact_frame_ratio,self_collision_available,self_collision_frames,self_collision_ratio,base_metrics_available,base_height_mean_m,base_height_std_m,base_roll_mean_deg,base_pitch_mean_deg,base_roll_std_deg,base_pitch_std_deg,fall_frames,fall_detected,base_abnormal,smoothness_available,mean_joint_velocity_rad_s,mean_joint_acceleration_rad_s2,mean_joint_jerk_rad_s3,max_joint_jerk_rad_s3
09_01,Basic IK,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl Basic IK/09_01_poses_unitree_g1_basic_ik_pure.pkl,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/09_01_poses_unitree_g1_direct_mapping.pkl,no_gmr_seed,0,148,37,120.0,30.0,30.0,1.0176644561421486,0.9215350289855436,0,severe_foot_penetration;severe_self_collision,,36,36,1,1,0,0.0,0,0.0,,1,0.9055391719968084,10,203.52673034136632,46.49752751770691,178.43527523231486,0.0,653.3060703111703,167.57653502523522,116.19048646974514,215.39569582975284,214.57838360452615,129.01532545520908,118.99895353957355,104.41009400006173,112.26902883702299,0.1256074158903645,1.0022134965938856,0.25246087040382525,2.266820584111597,0.03333333333333344,0.02702702702702711,0.12162162162162163,0.06666666666666668,1,37,3.2770920905504735,2.657101695040925,0.10804900330623785,0.027268081204876005,34,0.918918918918919,1,33,0.8918918918918919,1,0.72066551258385,0.024426493072498685,2.5665449626659567,-3.6355193046164644,5.123340016132189,9.582238510475579,0,0,0,1,0.6239120507348351,8.311037118098513,248.91787784786843,4404.591871214694
09_01,GMR,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl GMR/09_01_poses_unitree_g1_gmr.pkl,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/09_01_poses_unitree_g1_direct_mapping.pkl,native_gmr,0,148,37,120.0,30.0,30.0,1.0176644561421486,0.9215350289855436,1,,,36,36,1,1,0,0.0,0,0.0,,1,0.9055391719968084,10,184.56830913228148,36.7379859854289,144.95469687556397,0.0,652.7933941076059,87.55646464745642,109.536845738381,188.82090476514315,193.90457235127528,68.74569585916899,74.66362256428343,138.77373713637283,146.31954502084625,0.08613386182848459,1.4598863377925149,0.17123281573729326,2.861911873182484,0.03333333333333344,0.02702702702702711,0.10810810810810811,0.07999999999999999,1,12,0.3625303330551794,0.9063258326379485,0.04024058788929558,0.003913497155631099,16,0.43243243243243246,1,0,0.0,1,0.7749367937075444,0.025195476346874652,2.488926984643518,6.803521607073938,3.7746542902203184,2.610573232265221,0,0,0,1,1.8262991435233715,38.538957459296945,1374.9612139797348,20568.115121410512
09_12,Direct Mapping,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/09_12_poses_unitree_g1_direct_mapping.pkl,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/09_12_poses_unitree_g1_direct_mapping.pkl,no_gmr_seed,0,1918,1918,120.0,120.0,30.0,0.9842778432583189,0.9215350289855436,0,joint_limit_violation;severe_self_collision,,36,36,1,1,125,0.2604166666666667,154,0.16599650923763698,right_hip_roll_joint(74); left_hip_roll_joint(37); left_knee_joint(32); right_knee_joint(11),1,0.9362549764758763,10,277.49778358620233,59.854987374164004,341.4689781406671,0.0,622.6510714804303,223.7463456265791,463.6574189086392,330.4721707236896,347.9999773037606,121.96299099752966,113.50487884416303,75.28873694211616,198.19646144891314,0.002501901810629408,2.408099973897883e-07,0.015973291331678244,2.0355549961366507e-13,0.0,0.0,0.50625,3.9333333333333327,1,281,14.597718111354414,1.5584752432050974,0.053908815736642274,0.005554007709756694,194,0.40625,1,343,0.7145833333333333,1,0.7870775708684831,0.012480716334365068,-1.9609688459179664,-4.343290574130085,2.1312220989348005,3.4890882277750666,0,0,0,1,0.4475065081460186,10.786854311836285,508.7110578380258,24618.302057618283
09_12,Basic IK,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl Basic IK/09_12_poses_unitree_g1_basic_ik_pure.pkl,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/09_12_poses_unitree_g1_direct_mapping.pkl,no_gmr_seed,0,1918,480,120.0,30.0,30.0,0.9842778432583189,0.9215350289855436,0,severe_foot_penetration;severe_self_collision,,36,36,1,1,0,0.0,0,0.0,,1,0.9362549764758763,10,162.27475664204997,41.54061540048889,137.4881024084854,0.0,630.4351479958524,88.8305322403012,72.31224166823633,189.11670168366334,199.6929340417406,90.01889666685894,66.08958047508938,58.796001564871226,65.18077344183598,0.034664539148321065,4.675569643415358,0.22946797810606037,38.550366554800554,0.0,0.0,0.09583333333333333,5.0,1,710,22.5004776863232,0.9507244092812621,0.10358289207730678,0.032249290202025716,480,1.0,1,334,0.6958333333333333,1,0.7247941870772673,0.011846594628173153,4.180407423372449,-22.76256029617398,5.192953638987102,9.739921464242533,0,0,0,1,0.2952037540102666,2.992741228451172,94.14357977070823,5165.163251529917
09_12,GMR,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl GMR/09_12_poses_unitree_g1_gmr.pkl,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/09_12_poses_unitree_g1_direct_mapping.pkl,native_gmr,0,1918,479,120.0,29.96871741397289,30.0,0.9842778432583189,0.9215350289855436,0,severe_self_collision,,36,36,1,1,0,0.0,0,0.0,,1,0.9362549764758763,10,164.93767848465012,36.832442053418845,133.58872625377322,0.0,623.5992420582526,101.22650943298575,107.85066048335813,158.25958111526808,167.0181539834809,48.372839238951165,49.7692867077409,115.22942663309753,113.11340670871616,0.025683755938279974,2.6068956157334875,0.16260638344378028,5.102326726405586,0.033333333333333215,0.002087682672233813,0.19728601252609604,0.09333333333333334,1,496,11.631932294495414,0.703544292005771,0.05503735507083627,0.016443916458908407,477,0.9958246346555324,1,51,0.10647181628392484,1,0.7634842561831069,0.012291812614410492,2.148101672267007,0.24819508553960792,2.681839400583755,3.5321504772614523,0,0,0,1,0.7772671521753878,14.820520229672086,600.4425174988143,25353.745008034224
10_01,Direct Mapping,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/10_01_poses_unitree_g1_direct_mapping.pkl,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/10_01_poses_unitree_g1_direct_mapping.pkl,no_gmr_seed,0,801,801,120.0,120.0,30.0,0.9833175111468336,0.9215350289855436,0,joint_limit_violation;severe_foot_penetration;severe_self_collision,,36,36,1,1,102,0.5074626865671642,155,0.45132428520322787,right_knee_joint(76); left_knee_joint(66); left_hip_roll_joint(13),1,0.9371693461563257,10,273.81927248121985,58.35500114692176,318.83202831420573,0.0,638.4569648421684,251.90910976278008,459.82513352483994,230.0656150280123,333.52825494119037,78.59601478737545,112.4409914007707,142.4515378020284,217.09983024181238,0.0034511344215488737,2.692213407950082e-07,0.016965515882768872,2.0355549961366507e-13,0.0,0.0,0.42786069651741293,0.11333333333333333,1,221,5.2162984226118985,0.7080948084993527,0.10529244380377495,0.009056721868961611,176,0.8756218905472637,1,124,0.6169154228855721,1,0.7774643230295359,0.02897568380086493,0.8278499487215074,-0.07994394693901144,3.6136994636526825,5.821253710723159,0,0,0,1,0.3218437635220039,7.615409686249796,359.37058563962626,51028.736742547
10_01,Basic IK,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl Basic IK/10_01_poses_unitree_g1_basic_ik_pure.pkl,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/10_01_poses_unitree_g1_direct_mapping.pkl,no_gmr_seed,0,801,201,120.0,30.0,30.0,0.9833175111468336,0.9215350289855436,0,severe_self_collision,,36,36,1,1,0,0.0,0,0.0,,1,0.9371693461563257,10,398.7567272553203,65.11240846721529,446.8511870841383,0.0,640.2097425760671,528.3508096145268,483.4555592294115,254.63985796201231,520.9585215306023,189.29013305384873,318.92963089052085,326.66441178202126,326.3118786588721,0.3216919866122983,106.917896884427,0.33824422957191874,73.9665863384432,0.0,0.0,0.05472636815920398,0.32666666666666666,1,144,3.1376106429453037,0.6536688839469382,0.07140247445453254,0.030685695581781178,185,0.9203980099502488,1,54,0.26865671641791045,1,0.7385050373190863,0.021801096252680147,-2.8644790058410177,-10.515771042409975,3.0324993531160356,10.183415927662788,0,0,0,1,0.2825987111539617,2.6222933401496835,82.85201612537682,10698.16810865196
10_01,GMR,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl GMR/10_01_poses_unitree_g1_gmr.pkl,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/10_01_poses_unitree_g1_direct_mapping.pkl,native_gmr,0,801,200,120.0,29.9625468164794,30.0,0.9833468867804939,0.9215350289855436,1,,,36,36,1,1,0,0.0,0,0.0,,1,0.9371413499896013,10,158.92987724802947,35.77465458173284,129.2609563506558,0.0,639.0007533449769,82.87962680350226,117.7840350390499,151.2243964117207,165.15576714835035,39.20264315908764,31.727403491394558,92.64195125527338,110.75231857890954,0.03228624725647501,15.972994046007797,0.16157245396208986,1.6556124403499344,0.033333333333333215,0.004999999999999982,0.057499999999999996,0.02,1,44,0.8508388508265545,0.5801173982908325,0.01961758815273271,0.005070535576305898,183,0.915,1,12,0.06,1,0.7686612047779262,0.025035602333794735,-1.9335432898157887,2.1319954132936227,2.779517811314763,7.002308523978871,0,0,0,1,0.5377232528863773,9.778182008796403,390.3286817556231,26148.62799978008
13_01,Direct Mapping,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/13_01_poses_unitree_g1_direct_mapping.pkl,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/13_01_poses_unitree_g1_direct_mapping.pkl,no_gmr_seed,0,2313,2313,120.0,120.0,30.0,0.9971791883175418,0.9215350289855436,0,joint_limit_violation;severe_self_collision,,36,36,1,1,498,0.8601036269430051,792,0.4612923556843711,left_knee_joint(483); right_knee_joint(210); left_elbow_joint(99),1,0.9241418591380488,10,370.1347356809875,74.04088580488256,429.55574599888195,0.0,612.8887522392155,317.2108996177491,512.3077960965624,339.814399925818,548.889888355398,198.68463710059282,193.89905906206084,238.65841766840268,368.85877106308766,0.000526491244532536,2.268739402772953e-07,0.0028287911696367814,1.0177774980683254e-13,0.0,0.0,0.572538860103627,4.66,1,252,3.9936558229308905,0.4754352170155823,0.031023364552299374,0.0022086836625013206,225,0.38860103626943004,1,474,0.8186528497409327,1,0.725859585159432,0.0549001368118437,-18.31062637548368,-2.9187840200476285,16.318208423498046,2.5589766905628903,0,0,0,1,0.19086132111180945,4.832055308959549,238.69320587292327,13674.152217431192
13_01,Basic IK,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl Basic IK/13_01_poses_unitree_g1_basic_ik_pure.pkl,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/13_01_poses_unitree_g1_direct_mapping.pkl,no_gmr_seed,0,2313,579,120.0,30.0,30.0,0.9971791883175418,0.9215350289855436,0,severe_self_collision,,36,36,1,1,0,0.0,0,0.0,,1,0.9241418591380488,10,238.08356292551974,43.59781601491349,203.09797778655968,0.0,616.0836092876061,171.77672597798664,149.1547763120172,249.83454913787077,241.6258597183642,186.53410870228655,153.40347333208342,202.669172768997,171.66979109246617,0.08646921385730151,44.99505440642694,0.2932355068110563,109.56391887840242,0.0,0.0,0.18307426597582038,5.34,1,275,3.673958404399033,0.4007954622980763,0.06789799323881696,0.009222143530206398,334,0.5768566493955095,1,130,0.22452504317789293,1,0.6983334522606486,0.049644287666472414,-18.774651807399,2.3446673965454328,12.054950606438531,12.914785531691338,0,0,0,1,0.1456168811704147,1.2577373508879484,46.8822794502953,6445.260103736261
13_01,GMR,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl GMR/13_01_poses_unitree_g1_gmr.pkl,/mnt/d/GMR_WORK/GMR/outputs/final product/pkl direct/13_01_poses_unitree_g1_direct_mapping.pkl,native_gmr,0,2313,578,120.0,29.987029831387808,30.0,0.9973386994906367,0.9215350289855436,0,severe_self_collision,,36,36,1,1,0,0.0,0,5.551115123125783e-17,,1,0.9239940548343228,10,192.43426865392615,36.27713688996926,163.83579568628934,0.0,615.4621882488282,154.8982858077059,150.32509292246016,172.4542392899836,177.6655647250076,80.19722741416821,64.55806419037488,170.1106168191515,146.23713846765523,0.03378417426430041,22.711956780475614,0.2494097741825156,2.47720771917687,0.03333333333333144,0.0017301038062282755,0.016435986159169552,0.026666666666666665,1,125,1.9756923889128406,0.47416617333908173,0.031039228622123938,0.008444532064689737,431,0.745674740484429,1,68,0.11764705882352941,1,0.722014129966918,0.04330035168094372,2.0174723596095934,-7.891224220625516,2.015837859490728,10.107109068253841,0,0,0,1,0.29510523928296556,5.180621923483818,227.38686609680647,10786.13404854203
