metric,comparison,valid_pair_count,statistic,raw_p_value,corrected_p_value,significant,effect_size,effect_size_interpretation
head_end_effector_error_mean,direct_mapping vs basic_ik,9,3.0,0.01953125,0.0390625,True,0.8666666666666667,large
head_end_effector_error_mean,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
head_end_effector_error_mean,basic_ik vs gmr,9,13.0,0.30078125,0.30078125,False,0.4222222222222222,medium
head_end_effector_error_max,Friedman: all methods,9,11.555555555555543,0.00309558685236526,0.00309558685236526,True,0.6419753086419746,large
head_end_effector_error_max,direct_mapping vs basic_ik,9,3.0,0.01953125,0.0390625,True,0.8666666666666667,large
head_end_effector_error_max,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
head_end_effector_error_max,basic_ik vs gmr,9,13.0,0.30078125,0.30078125,False,0.4222222222222222,medium
root_horizontal_trajectory_error_mean,Friedman: all methods,9,2.8888888888888857,0.23587708298570037,0.23587708298570037,False,0.16049382716049365,small
root_horizontal_trajectory_error_mean,direct_mapping vs basic_ik,9,20.0,0.8203125,0.8203125,False,-0.1111111111111111,small
root_horizontal_trajectory_error_mean,direct_mapping vs gmr,9,12.0,0.25,0.5,False,0.4666666666666667,medium
root_horizontal_trajectory_error_mean,basic_ik vs gmr,9,4.0,0.02734375,0.08203125,False,0.8222222222222222,large
root_vertical_position_error_mean,Friedman: all methods,9,14.888888888888886,0.0005846808328765162,0.0005846808328765162,True,0.8271604938271603,large
root_vertical_position_error_mean,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,-1.0,large
root_vertical_position_error_mean,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,-1.0,large
root_vertical_position_error_mean,basic_ik vs gmr,9,5.0,0.0390625,0.0390625,True,-0.7777777777777778,large
root_displacement_error_mean,Friedman: all methods,9,2.8888888888888857,0.23587708298570037,0.23587708298570037,False,0.16049382716049365,small
root_displacement_error_mean,direct_mapping vs basic_ik,9,20.0,0.8203125,0.8203125,False,-0.1111111111111111,small
root_displacement_error_mean,direct_mapping vs gmr,9,12.0,0.25,0.5,False,0.4666666666666667,medium
root_displacement_error_mean,basic_ik vs gmr,9,4.0,0.02734375,0.08203125,False,0.8222222222222222,large
root_heading_error_mean_deg,Friedman: all methods,9,0.6666666666666572,0.7165313105737927,0.7165313105737927,False,0.03703703703703651,negligible
root_heading_error_mean_deg,direct_mapping vs basic_ik,9,19.0,0.734375,1.0,False,-0.15555555555555556,small
root_heading_error_mean_deg,direct_mapping vs gmr,9,16.0,0.49609375,1.0,False,0.28888888888888886,small
root_heading_error_mean_deg,basic_ik vs gmr,9,20.0,0.8203125,1.0,False,0.1111111111111111,small
final_root_displacement_difference,Friedman: all methods,9,1.555555555555543,0.4594258240359297,0.4594258240359297,False,0.08641975308641905,negligible
final_root_displacement_difference,direct_mapping vs basic_ik,9,19.0,0.734375,1.0,False,-0.15555555555555556,small
final_root_displacement_difference,direct_mapping vs gmr,9,18.0,0.65234375,1.0,False,0.2,small
final_root_displacement_difference,basic_ik vs gmr,9,7.0,0.07421875,0.22265625,False,0.6888888888888889,large
motion_range_preservation_error_mean,Friedman: all methods,9,8.222222222222214,0.016389553790213653,0.016389553790213653,True,0.4567901234567897,medium
motion_range_preservation_error_mean,direct_mapping vs basic_ik,9,17.0,0.5703125,1.0,False,0.24444444444444444,small
motion_range_preservation_error_mean,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
motion_range_preservation_error_mean,basic_ik vs gmr,9,21.0,0.91015625,1.0,False,0.06666666666666667,negligible
body_orientation_error_median,Friedman: all methods,9,18.0,0.00012340980408667962,0.00012340980408667962,True,1.0,large
body_orientation_error_median,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,-1.0,large
body_orientation_error_median,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
body_orientation_error_median,basic_ik vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
body_orientation_error_std,Friedman: all methods,9,18.0,0.00012340980408667962,0.00012340980408667962,True,1.0,large
body_orientation_error_std,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,-1.0,large
body_orientation_error_std,direct_mapping vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
body_orientation_error_std,basic_ik vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
body_orientation_error_max,Friedman: all methods,9,14.888888888888886,0.0005846808328765162,0.0005846808328765162,True,0.8271604938271603,large
body_orientation_error_max,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,-1.0,large
body_orientation_error_max,direct_mapping vs gmr,9,3.0,0.01953125,0.01953125,True,0.8666666666666667,large
body_orientation_error_max,basic_ik vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
body_orientation_error_p95,Friedman: all methods,9,16.222222222222214,0.0003001851487690379,0.0003001851487690379,True,0.9012345679012341,large
body_orientation_error_p95,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,-1.0,large
body_orientation_error_p95,direct_mapping vs gmr,9,1.0,0.0078125,0.01171875,True,0.9555555555555556,large
body_orientation_error_p95,basic_ik vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
mean_joint_velocity,Friedman: all methods,9,16.222222222222214,0.0003001851487690379,0.0003001851487690379,True,0.9012345679012341,large
mean_joint_velocity,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,-1.0,large
mean_joint_velocity,direct_mapping vs gmr,9,1.0,0.0078125,0.01171875,True,-0.9555555555555556,large
mean_joint_velocity,basic_ik vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
rms_joint_velocity,Friedman: all methods,9,16.222222222222214,0.0003001851487690379,0.0003001851487690379,True,0.9012345679012341,large
rms_joint_velocity,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,-1.0,large
rms_joint_velocity,direct_mapping vs gmr,9,1.0,0.0078125,0.01171875,True,-0.9555555555555556,large
rms_joint_velocity,basic_ik vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
maximum_joint_velocity,Friedman: all methods,9,14.888888888888886,0.0005846808328765162,0.0005846808328765162,True,0.8271604938271603,large
maximum_joint_velocity,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,-1.0,large
maximum_joint_velocity,direct_mapping vs gmr,9,7.0,0.07421875,0.07421875,False,-0.6888888888888889,large
maximum_joint_velocity,basic_ik vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
p95_joint_velocity,Friedman: all methods,9,14.888888888888886,0.0005846808328765162,0.0005846808328765162,True,0.8271604938271603,large
p95_joint_velocity,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,-1.0,large
p95_joint_velocity,direct_mapping vs gmr,9,3.0,0.01953125,0.01953125,True,-0.8666666666666667,large
p95_joint_velocity,basic_ik vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
mean_joint_acceleration,Friedman: all methods,9,16.222222222222214,0.0003001851487690379,0.0003001851487690379,True,0.9012345679012341,large
mean_joint_acceleration,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,-1.0,large
mean_joint_acceleration,direct_mapping vs gmr,9,3.0,0.01953125,0.01953125,True,-0.8666666666666667,large
mean_joint_acceleration,basic_ik vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
rms_joint_acceleration,Friedman: all methods,9,16.222222222222214,0.0003001851487690379,0.0003001851487690379,True,0.9012345679012341,large
rms_joint_acceleration,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,-1.0,large
rms_joint_acceleration,direct_mapping vs gmr,9,2.0,0.01171875,0.01171875,True,-0.9111111111111111,large
rms_joint_acceleration,basic_ik vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
maximum_joint_acceleration,Friedman: all methods,9,14.888888888888886,0.0005846808328765162,0.0005846808328765162,True,0.8271604938271603,large
maximum_joint_acceleration,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,-1.0,large
maximum_joint_acceleration,direct_mapping vs gmr,9,6.0,0.0546875,0.0546875,False,-0.7333333333333333,large
maximum_joint_acceleration,basic_ik vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
p95_joint_acceleration,Friedman: all methods,9,14.888888888888886,0.0005846808328765162,0.0005846808328765162,True,0.8271604938271603,large
p95_joint_acceleration,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,-1.0,large
p95_joint_acceleration,direct_mapping vs gmr,9,3.0,0.01953125,0.01953125,True,-0.8666666666666667,large
p95_joint_acceleration,basic_ik vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
mean_joint_jerk,Friedman: all methods,9,14.888888888888886,0.0005846808328765162,0.0005846808328765162,True,0.8271604938271603,large
mean_joint_jerk,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,-1.0,large
mean_joint_jerk,direct_mapping vs gmr,9,6.0,0.0546875,0.0546875,False,-0.7333333333333333,large
mean_joint_jerk,basic_ik vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
maximum_joint_jerk,Friedman: all methods,9,13.555555555555543,0.0011388027613457952,0.0011388027613457952,True,0.7530864197530858,large
maximum_joint_jerk,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,-1.0,large
maximum_joint_jerk,direct_mapping vs gmr,9,15.0,0.42578125,0.42578125,False,-0.3333333333333333,medium
maximum_joint_jerk,basic_ik vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
p95_joint_jerk,Friedman: all methods,9,14.0,0.0009118819655545164,0.0009118819655545164,True,0.7777777777777778,large
p95_joint_jerk,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,-1.0,large
p95_joint_jerk,direct_mapping vs gmr,9,7.0,0.07421875,0.07421875,False,-0.6888888888888889,large
p95_joint_jerk,basic_ik vs gmr,9,0.0,0.00390625,0.01171875,True,1.0,large
root_linear_velocity_rms,Friedman: all methods,9,4.222222222222214,0.12110333239233023,0.12110333239233023,False,0.23456790123456747,small
root_linear_velocity_rms,direct_mapping vs basic_ik,9,22.0,1.0,1.0,False,0.022222222222222223,negligible
root_linear_velocity_rms,direct_mapping vs gmr,9,11.0,0.203125,0.40625,False,-0.5111111111111111,large
root_linear_velocity_rms,basic_ik vs gmr,9,2.0,0.01171875,0.03515625,True,-0.9111111111111111,large
root_linear_acceleration_rms,Friedman: all methods,9,1.555555555555543,0.4594258240359297,0.4594258240359297,False,0.08641975308641905,negligible
root_linear_acceleration_rms,direct_mapping vs basic_ik,9,7.0,0.07421875,0.22265625,False,-0.6888888888888889,large
root_linear_acceleration_rms,direct_mapping vs gmr,9,10.0,0.1640625,0.328125,False,-0.5555555555555556,large
root_linear_acceleration_rms,basic_ik vs gmr,9,21.0,0.91015625,0.91015625,False,-0.06666666666666667,negligible
root_linear_jerk,Friedman: all methods,9,2.8888888888888857,0.23587708298570037,0.23587708298570037,False,0.16049382716049365,small
root_linear_jerk,direct_mapping vs basic_ik,9,5.0,0.0390625,0.1171875,False,-0.7777777777777778,large
root_linear_jerk,direct_mapping vs gmr,9,11.0,0.203125,0.40625,False,-0.5111111111111111,large
root_linear_jerk,basic_ik vs gmr,9,17.0,0.5703125,0.5703125,False,-0.24444444444444444,small
root_angular_velocity_rms,Friedman: all methods,9,10.888888888888886,0.004320239474094075,0.004320239474094075,True,0.6049382716049381,large
root_angular_velocity_rms,direct_mapping vs basic_ik,9,0.0,0.00390625,0.01171875,True,-1.0,large
root_angular_velocity_rms,direct_mapping vs gmr,9,5.0,0.0390625,0.0390625,True,-0.7777777777777778,large
root_angular_velocity_rms,basic_ik vs gmr,9,3.0,0.01953125,0.0390625,True,0.8666666666666667,large
