Configuration,Run ID,Seed,Metric,Final window requested,N,Mean,Temporal SD,Minimum,Maximum,Median,First step in window,Last step in window,SD interpretation
No body pose,y84gf3sj,42,Episode_Metrics/joint_limit_raw,100,100,0.0036858874466270206,0.00033628782368979785,0.0027422623243182898,0.004454902373254299,0.0037048966623842716,900.0,999.0,Temporal SD within one run; not cross-seed SD
No body pose,y84gf3sj,42,Episode_Metrics/self_collision_raw,100,100,0.0017363464209483937,0.0007344561395193099,0.0005571131478063762,0.005705936811864376,0.0015890883514657617,900.0,999.0,Temporal SD within one run; not cross-seed SD
No body pose,y84gf3sj,42,Episode_Termination/time_out,100,100,0.8754166904091835,0.2085012006472239,0.375,1.375,0.875,900.0,999.0,Temporal SD within one run; not cross-seed SD
No body pose,y84gf3sj,42,Episode_Termination/anchor_pos,100,100,6.630000166893005,1.0190779984112364,4.1666669845581055,8.958333969116211,6.750000238418579,900.0,999.0,Temporal SD within one run; not cross-seed SD
No body pose,y84gf3sj,42,Episode_Termination/anchor_ori,100,100,0.0,0.0,0.0,0.0,0.0,900.0,999.0,Temporal SD within one run; not cross-seed SD
No body pose,y84gf3sj,42,Episode_Termination/ee_body_pos,100,100,24.011250648498535,0.9838206964464167,22.125,26.95833396911621,24.000000953674316,900.0,999.0,Temporal SD within one run; not cross-seed SD
No velocity,6rlspqk0,42,Train/mean_reward,100,100,4.120950720971031,0.4071167504533397,3.137699622027576,5.196081764400005,4.096193106621504,900.0,999.0,Temporal SD within one run; not cross-seed SD
No velocity,6rlspqk0,42,Train/mean_episode_length,100,100,199.5093,17.903396735160776,157.67,246.13,200.15499999999997,900.0,999.0,Temporal SD within one run; not cross-seed SD
No velocity,6rlspqk0,42,Policy/mean_std,100,100,0.36909303545951844,0.00040977463474290305,0.36822211742401123,0.369824081659317,0.3691597431898117,900.0,999.0,Temporal SD within one run; not cross-seed SD
No velocity,6rlspqk0,42,Episode_Metrics/root_position_error,100,100,0.34494960963726046,0.009118114273558513,0.32212579250335693,0.36515316367149353,0.34404806792736053,900.0,999.0,Temporal SD within one run; not cross-seed SD
No velocity,6rlspqk0,42,Episode_Metrics/root_orientation_error,100,100,0.16800277233123778,0.0021346005622240793,0.1639154553413391,0.17317770421504974,0.16758394986391068,900.0,999.0,Temporal SD within one run; not cross-seed SD
No velocity,6rlspqk0,42,Episode_Metrics/body_position_error,100,100,0.09171631693840027,0.001165669033819939,0.08901709318161011,0.0939059779047966,0.09178872406482697,900.0,999.0,Temporal SD within one run; not cross-seed SD
No velocity,6rlspqk0,42,Episode_Metrics/body_orientation_error,100,100,0.4628802162408829,0.0066311196920195645,0.44892269372940063,0.48222407698631287,0.4629068076610565,900.0,999.0,Temporal SD within one run; not cross-seed SD
No velocity,6rlspqk0,42,Episode_Metrics/body_linear_velocity_error,100,100,0.8572637408971786,0.013040685780645425,0.8290616273880005,0.8897589445114136,0.8577062487602234,900.0,999.0,Temporal SD within one run; not cross-seed SD
No velocity,6rlspqk0,42,Episode_Metrics/body_angular_velocity_error,100,100,4.221015019416809,0.035650219784738264,4.136358261108398,4.326665878295898,4.221620798110962,900.0,999.0,Temporal SD within one run; not cross-seed SD
No velocity,6rlspqk0,42,Episode_Metrics/action_rate_l2_raw,100,100,7.99992124080658,0.035812466733967915,7.908559799194336,8.09225845336914,7.999898672103882,900.0,999.0,Temporal SD within one run; not cross-seed SD
No velocity,6rlspqk0,42,Episode_Metrics/joint_limit_raw,100,100,0.004259276408702135,0.0002898108667614109,0.0035537593066692352,0.005060373339802027,0.004268005257472396,900.0,999.0,Temporal SD within one run; not cross-seed SD
No velocity,6rlspqk0,42,Episode_Metrics/self_collision_raw,100,100,0.0029772870417218654,0.0015716676474731234,0.001223709317855537,0.010898852720856667,0.002509985351935029,900.0,999.0,Temporal SD within one run; not cross-seed SD
No velocity,6rlspqk0,42,Episode_Termination/time_out,100,100,2.4750000715255736,0.3648312737059487,1.625,3.2083334922790527,2.5,900.0,999.0,Temporal SD within one run; not cross-seed SD
No velocity,6rlspqk0,42,Episode_Termination/anchor_pos,100,100,2.9750000834465027,0.3657434096208767,2.25,3.875,2.9375001192092896,900.0,999.0,Temporal SD within one run; not cross-seed SD
No velocity,6rlspqk0,42,Episode_Termination/anchor_ori,100,100,0.0,0.0,0.0,0.0,0.0,900.0,999.0,Temporal SD within one run; not cross-seed SD
No velocity,6rlspqk0,42,Episode_Termination/ee_body_pos,100,100,16.38583384513855,0.9350885702239118,14.75,18.95833396911621,16.375,900.0,999.0,Temporal SD within one run; not cross-seed SD
No action rate,p6vbd18i,42,Train/mean_reward,100,100,20.108435092106646,0.5030203679862135,19.001369619295,21.235641963481903,20.07816139537841,900.0,999.0,Temporal SD within one run; not cross-seed SD
No action rate,p6vbd18i,42,Train/mean_episode_length,100,100,465.34460000000007,10.499646787709894,438.64,488.12,465.78,900.0,999.0,Temporal SD within one run; not cross-seed SD
No action rate,p6vbd18i,42,Policy/mean_std,100,100,1.5380267524719238,0.009375856193307615,1.521876573562622,1.5542385578155518,1.5380412340164185,900.0,999.0,Temporal SD within one run; not cross-seed SD
No action rate,p6vbd18i,42,Episode_Metrics/root_position_error,100,100,0.2914727863669395,0.011396473151108049,0.26196783781051636,0.31284016370773315,0.29227815568447113,900.0,999.0,Temporal SD within one run; not cross-seed SD
No action rate,p6vbd18i,42,Episode_Metrics/root_orientation_error,100,100,0.12806911811232566,0.002500274649111094,0.12220549583435059,0.13411125540733337,0.12781982123851776,900.0,999.0,Temporal SD within one run; not cross-seed SD
