N,Mean,Temporal SD,Minimum,Maximum,Median,Configuration,Run ID,Metric display name,Metric,Source,Statistical interpretation
100,5.053977341651916,0.07637456958431645,4.888949871063232,5.221831321716309,5.0599236488342285,No joint limit,6gq87ju7,Body angular velocity error,Metrics/motion/error_body_ang_vel,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,-0.4256046089529991,0.01619976819602792,-0.46756741404533386,-0.38820597529411316,-0.42586278915405273,No joint limit,6gq87ju7,Action-rate penalty contribution,Episode_Reward/action_rate_l2,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,0.0,0.0,0.0,0.0,0.0,No joint limit,6gq87ju7,Joint-limit penalty contribution,Episode_Reward/joint_limit,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,-0.007539001437835396,0.0016797249871985235,-0.012810973450541496,-0.004354692995548248,-0.007397368084639311,No joint limit,6gq87ju7,Self-collision penalty contribution,Episode_Reward/self_collisions,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,0.5867950731515884,0.01783328033240954,0.5382192730903625,0.6218408346176147,0.5877414643764496,No self collision,q2l4sxxn,Anchor position error,Metrics/motion/error_anchor_pos,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,0.28791141211986543,0.008952753899866847,0.2676171362400055,0.31767022609710693,0.28807583451271057,No self collision,q2l4sxxn,Anchor rotation error,Metrics/motion/error_anchor_rot,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,0.17181093841791154,0.006006118365702522,0.15911971032619476,0.18611089885234833,0.1718277558684349,No self collision,q2l4sxxn,Body position error,Metrics/motion/error_body_pos,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,0.611225174665451,0.01688613477276257,0.5775225162506104,0.6418587565422058,0.6123901009559631,No self collision,q2l4sxxn,Body rotation error,Metrics/motion/error_body_rot,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,1.4268628466129303,0.0446313004685805,1.3365099430084229,1.5082519054412842,1.435315728187561,No self collision,q2l4sxxn,Body linear velocity error,Metrics/motion/error_body_lin_vel,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,4.540424118041992,0.09397366707817445,4.3384552001953125,4.738888740539551,4.543211460113525,No self collision,q2l4sxxn,Body angular velocity error,Metrics/motion/error_body_ang_vel,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,-0.5076426479220391,0.025367575175473174,-0.5702744722366333,-0.45795536041259766,-0.5065339207649231,No self collision,q2l4sxxn,Action-rate penalty contribution,Episode_Reward/action_rate_l2,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,-0.02363400423899293,0.0014657049267266693,-0.028839794918894768,-0.020537691190838814,-0.023413043469190598,No self collision,q2l4sxxn,Joint-limit penalty contribution,Episode_Reward/joint_limit,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
100,0.0,0.0,0.0,0.0,0.0,No self collision,q2l4sxxn,Self-collision penalty contribution,Episode_Reward/self_collisions,W&B run.scan_history,Last 100 non-null records; temporal SD within one run
