motion_name,method,body_name,global_position_error_mean,root_relative_position_error_mean,scale_normalised_position_error_mean,motion_range_difference,body_orientation_error_mean_deg,body_orientation_error_max_deg,body_or_pair,metric,value
113_20,direct_mapping,pelvis/root,1.9483882841667395,2.718750014180214,2.3603211965433073,0.5155570943956456,,,,,
113_20,direct_mapping,torso,1.9837123914177084,2.7874526455702098,2.3537214721996,0.5734642940806565,,,,,
113_20,direct_mapping,head,1.9682259385793754,2.7663027259412574,2.353456630551991,0.5031212872431183,,,,,
113_20,direct_mapping,left_shoulder,1.985292102201831,2.7519068231482087,2.3643889121757535,0.4885094129692094,,,,,
113_20,direct_mapping,right_shoulder,1.9590926596774192,2.732234971837418,2.3579442314402974,0.7963211718353462,,,,,
113_20,direct_mapping,left_elbow,1.9793276997498614,2.7362420757829486,2.366017148923293,0.36777624686839,,,,,
113_20,direct_mapping,right_elbow,1.9638862918073443,2.719358574501003,2.3712895235794607,0.7796242954997192,,,,,
113_20,direct_mapping,left_hand,1.960765370527443,2.7506266799844195,2.423700064770925,0.21241712736991894,,,,,
113_20,direct_mapping,right_hand,1.9771019938184267,2.739534076049909,2.436773504657216,1.1171799589238787,,,,,
113_20,direct_mapping,left_hip,1.9572940902550306,2.723672145416898,2.3550847666013532,0.38428160147941093,,,,,
113_20,direct_mapping,right_hip,1.948152278795658,2.7223288794346603,2.36177916457969,0.5340287554634804,,,,,
113_20,direct_mapping,left_knee,1.9639948479130234,2.7228198665909304,2.35083960129059,0.39904883333318586,,,,,
113_20,direct_mapping,right_knee,1.9512189095093637,2.7228020120601,2.3604997042617675,0.7730734437104567,,,,,
113_20,direct_mapping,left_foot,1.9400802661193794,2.7155528290305053,2.355267869980829,0.25311489378261004,,,,,
113_20,direct_mapping,right_foot,1.929508933043159,2.729938507678613,2.3772620415444696,0.9684074000411949,,,,,
113_20,direct_mapping,pelvis/root,,,,,11.463210647837279,24.857501272937608,,,
113_20,direct_mapping,torso,,,,,11.612742474219354,24.734028103303558,,,
113_20,direct_mapping,left_foot,,,,,13.046022024387927,31.637850300343622,,,
113_20,direct_mapping,right_foot,,,,,15.986121534401645,39.755619786871115,,,
113_20,direct_mapping,left_hand,,,,,23.43147788204989,34.80474330339593,,,
113_20,direct_mapping,right_hand,,,,,18.96689504621161,40.69225211243569,,,
113_20,basic_ik,pelvis/root,1.9535428743295211,1.3507490793834334,1.1339861809135263,2.746030852165054,,,,,
113_20,basic_ik,torso,1.994976409047088,1.4546552714392909,1.145532780266772,2.683504120820363,,,,,
113_20,basic_ik,head,1.9775246798464734,1.4194878039566943,1.1275420324041914,2.671661715987047,,,,,
113_20,basic_ik,left_shoulder,1.9691009687759682,1.407448136564349,1.1597748297384691,2.7146506113951743,,,,,
113_20,basic_ik,right_shoulder,1.9615971435802606,1.3846320654073654,1.1392170798731103,2.3743097410501783,,,,,
113_20,basic_ik,left_elbow,1.958178482331025,1.3965770826759287,1.1728724752549422,2.80383972756479,,,,,
113_20,basic_ik,right_elbow,1.9563358739922407,1.3517032749482834,1.135159715082436,2.317380644506313,,,,,
113_20,basic_ik,left_hand,1.9546805878665476,1.3932509185358475,1.168926834133307,2.670388983676254,,,,,
113_20,basic_ik,right_hand,1.953621098788603,1.3562955740929157,1.1364811162566049,2.1317905173766376,,,,,
113_20,basic_ik,left_hip,1.9527891710884533,1.354680063896055,1.140874546371359,2.796654443083396,,,,,
113_20,basic_ik,right_hip,1.9522946363129485,1.340842250737452,1.1310923152663024,2.6097273034995583,,,,,
113_20,basic_ik,left_knee,1.9520233937764306,1.3642452967569265,1.1536165863783499,2.780390615659531,,,,,
113_20,basic_ik,right_knee,1.9496854729767137,1.3341585770968347,1.1223868766432408,2.407953477669077,,,,,
113_20,basic_ik,left_foot,1.9457260654572008,1.351518590844773,1.1500392563991364,2.6521003873559894,,,,,
113_20,basic_ik,right_foot,1.9437821907920798,1.3221168611630385,1.1252195330288906,2.4220647981638077,,,,,
113_20,basic_ik,pelvis/root,,,,,65.21447592465468,74.35036389780424,,,
113_20,basic_ik,torso,,,,,11.889551772986685,18.358776405971813,,,
113_20,basic_ik,left_foot,,,,,129.21521315959689,179.65378113500657,,,
113_20,basic_ik,right_foot,,,,,81.77682146028629,147.06356807241716,,,
113_20,basic_ik,left_hand,,,,,20.883859178487224,39.52441240948179,,,
113_20,basic_ik,right_hand,,,,,31.413303672357934,60.16949411885199,,,
113_20,basic_ik,,,,,,,,left_shoulder_yaw_link | torso_link,self_collision_frame_count,325.0
113_20,basic_ik,,,,,,,,right_hip_roll_link | right_wrist_pitch_link,self_collision_frame_count,120.0
113_20,basic_ik,,,,,,,,right_hip_roll_link | right_wrist_yaw_link,self_collision_frame_count,139.0
113_20,basic_ik,,,,,,,,left_hip_roll_link | left_wrist_yaw_link,self_collision_frame_count,211.0
113_20,basic_ik,,,,,,,,left_hip_roll_link | left_wrist_pitch_link,self_collision_frame_count,213.0
113_20,basic_ik,,,,,,,,right_shoulder_yaw_link | torso_link,self_collision_frame_count,171.0
113_20,basic_ik,,,,,,,,right_hip_pitch_link | right_wrist_yaw_link,self_collision_frame_count,32.0
113_20,basic_ik,,,,,,,,left_hip_pitch_link | left_wrist_yaw_link,self_collision_frame_count,106.0
113_20,basic_ik,,,,,,,,right_hip_pitch_link | right_wrist_pitch_link,self_collision_frame_count,16.0
113_20,basic_ik,,,,,,,,right_hip_yaw_link | right_wrist_yaw_link,self_collision_frame_count,6.0
113_20,basic_ik,,,,,,,,right_hip_yaw_link | right_wrist_pitch_link,self_collision_frame_count,4.0
113_20,basic_ik,,,,,,,,right_hip_roll_link | right_wrist_roll_link,self_collision_frame_count,8.0
113_20,basic_ik,,,,,,,,left_hip_pitch_link | left_wrist_pitch_link,self_collision_frame_count,74.0
113_20,basic_ik,,,,,,,,left_hip_roll_link | left_wrist_roll_link,self_collision_frame_count,17.0
113_20,basic_ik,,,,,,,,left_shoulder_roll_link | torso_link,self_collision_frame_count,4.0
113_20,basic_ik,,,,,,,,left_ankle_roll_link | left_knee_link,self_collision_frame_count,10.0
113_20,basic_ik,,,,,,,,right_ankle_roll_link | right_knee_link,self_collision_frame_count,30.0
113_20,gmr,pelvis/root,0.263436577781277,0.3090858747968194,0.1973674686541854,0.4452455623361649,,,,,
113_20,gmr,torso,0.4920702469352974,0.5242205882878284,0.2756519449845997,0.4496243631334088,,,,,
113_20,gmr,head,0.4167738573228173,0.45337227895185295,0.1970298267894843,0.4431181693902041,,,,,
113_20,gmr,left_shoulder,0.35079613793643366,0.38493517229538454,0.20650024247547819,0.35574188884338903,,,,,
113_20,gmr,right_shoulder,0.3343607150082157,0.3779837256101326,0.2074820618566401,0.48251380496226987,,,,,
113_20,gmr,left_elbow,0.29783722285025016,0.33236248007299335,0.2226633411761965,0.5077009251824236,,,,,
113_20,gmr,right_elbow,0.2800560424772274,0.31984122779062507,0.22312729757135694,0.3613981197873878,,,,,
113_20,gmr,left_hand,0.2751159246863424,0.30952516930096624,0.2113399205165839,0.46971163650637243,,,,,
113_20,gmr,right_hand,0.25998305096769525,0.30359057801342765,0.21157004213830943,0.5256718374444044,,,,,
113_20,gmr,left_hip,0.2697813508497332,0.31395205016843797,0.19987501760834225,0.47560389566056466,,,,,
113_20,gmr,right_hip,0.2644381536394182,0.3092709790297097,0.19552510089524772,0.4199061643764828,,,,,
113_20,gmr,left_knee,0.24602661355344335,0.2916321078834533,0.21475360713005148,0.47075360774890423,,,,,
113_20,gmr,right_knee,0.2591623006594526,0.3042443924381025,0.22166372791306027,0.4100610016375563,,,,,
113_20,gmr,left_foot,0.18445530966912302,0.23305821124790582,0.21942139567245714,0.522321872406291,,,,,
113_20,gmr,right_foot,0.190588392217078,0.23653996568239308,0.21945085319861848,0.38348540060032044,,,,,
113_20,gmr,pelvis/root,,,,,5.6095336646741085,12.309028199795545,,,
113_20,gmr,torso,,,,,2.4878143301111173,9.273381022054789,,,
113_20,gmr,left_foot,,,,,5.285256081204245,28.146495811936823,,,
113_20,gmr,right_foot,,,,,6.271036622048527,24.235602942566732,,,
113_20,gmr,left_hand,,,,,7.80303719774472,25.24215421470605,,,
113_20,gmr,right_hand,,,,,5.10329915218947,26.40648870404799,,,
113_20,gmr,,,,,,,,left_hip_roll_link | left_wrist_yaw_link,self_collision_frame_count,24.0
113_20,gmr,,,,,,,,left_hip_roll_link | left_wrist_pitch_link,self_collision_frame_count,23.0
113_20,gmr,,,,,,,,right_hip_roll_link | right_wrist_pitch_link,self_collision_frame_count,4.0
113_20,gmr,,,,,,,,right_hip_roll_link | right_wrist_yaw_link,self_collision_frame_count,6.0
113_20,gmr,,,,,,,,right_hip_pitch_link | right_wrist_pitch_link,self_collision_frame_count,4.0
113_20,gmr,,,,,,,,right_hip_pitch_link | right_wrist_yaw_link,self_collision_frame_count,5.0
113_20,gmr,,,,,,,,left_hip_pitch_link | left_wrist_pitch_link,self_collision_frame_count,4.0
113_21,direct_mapping,pelvis/root,2.001709282746316,0.16221976087577608,0.12508026876524558,0.155454826548003,,,,,
113_21,direct_mapping,torso,2.0470311733448248,0.4010436560847328,0.13795077671052716,0.14840141841551185,,,,,
113_21,direct_mapping,head,1.9973217668041765,0.33433403070748,0.11749033509990968,0.15275051998252645,,,,,
113_21,direct_mapping,left_shoulder,2.1993051079947965,0.2514277364159442,0.12587457904760488,0.1450883946133471,,,,,
113_21,direct_mapping,right_shoulder,1.8022703043252932,0.2503394999434593,0.1415029021144003,0.13946817711720674,,,,,
113_21,direct_mapping,left_elbow,2.149952953812903,0.22269715157217007,0.1582848002173352,0.18300978140162813,,,,,
113_21,direct_mapping,right_elbow,1.7906134252987513,0.17388073607246568,0.1549800261425394,0.16491766079443745,,,,,
113_21,direct_mapping,left_hand,1.9652577956954242,0.23149104412361582,0.32016734494828114,0.1543917072613644,,,,,
