motion_name,method,joint_name,maximum_velocity_rad_s,maximum_acceleration_rad_s2,mean_jerk_rad_s3,maximum_jerk_rad_s3,joint_limit_violation_count,joint_limit_maximum_violation_rad
111_23,direct_mapping,right_wrist_roll_joint,2.386029420068361,44.857039577578504,258.3672449867056,1228.5469653922562,0,0.0
111_23,direct_mapping,right_wrist_pitch_joint,1.5202600634511956,21.29754144772034,75.20989257274718,596.6753384640798,0,0.0
111_23,direct_mapping,right_wrist_yaw_joint,4.240650399131829,87.79243424853968,270.6476897753123,1981.8734950820758,0,0.0
111_23,basic_ik,left_hip_pitch_joint,39.658414829698735,867.124924744634,303.3812380555248,9509.075671240678,0,0.0
111_23,basic_ik,left_hip_roll_joint,9.951126538478361,252.77403715166233,232.04215421643576,3177.2883617493208,0,0.0
111_23,basic_ik,left_hip_yaw_joint,48.8246564393661,1189.4664506440106,768.1462700717814,14587.914300150747,0,0.0
111_23,basic_ik,left_knee_joint,25.923638394490638,593.5917994942033,384.25727218865063,6740.783784919304,0,0.0
111_23,basic_ik,left_ankle_pitch_joint,23.745963126601165,462.5335646496038,432.1471168175625,4248.214037976799,0,0.0
111_23,basic_ik,left_ankle_roll_joint,7.908234844609925,223.5441302503601,130.05671121974765,3136.2891720681214,281,1.450797145193409
111_23,basic_ik,right_hip_pitch_joint,25.134152893110546,558.4715981579409,283.7888150019336,6150.092869321345,0,0.0
111_23,basic_ik,right_hip_roll_joint,3.9206968166208562,76.90532885873971,285.44285317823505,2529.195698665867,0,0.0
111_23,basic_ik,right_hip_yaw_joint,13.500779979107538,266.4053722624823,949.6301451089703,6874.462704484778,0,0.0
111_23,basic_ik,right_knee_joint,9.283337078572146,112.20880418494329,421.9858704074936,2913.024683016819,47,0.26957645054631535
111_23,basic_ik,right_ankle_pitch_joint,12.310432389620928,238.299291001455,624.1720833938381,4590.568267873149,163,2.2399953977414886
111_23,basic_ik,right_ankle_roll_joint,26.949376953872605,534.9987895152415,300.12012910641124,7529.615051882407,281,1.452962894941586
111_23,basic_ik,waist_yaw_joint,2.662475360491617,42.412285060636776,114.59179979445358,920.1889585151806,0,0.0
111_23,basic_ik,waist_roll_joint,4.348628240671678,43.51657363128555,152.11248918829395,1108.105541046485,0,0.0
111_23,basic_ik,waist_pitch_joint,24.497879981052577,533.3647785126348,188.5904182619827,5822.807642272045,273,0.44422470152320626
111_23,basic_ik,left_shoulder_pitch_joint,5.929924428171669,106.69055286580048,104.68397487587315,1022.2292985468245,0,0.0
111_23,basic_ik,left_shoulder_roll_joint,1.837985330429805,29.75485853880776,137.37769818146225,696.0213143358505,0,0.0
111_23,basic_ik,left_shoulder_yaw_joint,6.677050784167998,113.90917941115826,325.3407394664897,2202.88283803836,0,0.0
111_23,basic_ik,left_elbow_joint,4.794445418550982,124.60317066137793,209.88529752470222,1481.898860386829,0,0.0
111_23,basic_ik,left_wrist_roll_joint,1.8322122638478742,32.45622409653764,135.96166913031212,784.5163699387065,0,0.0
111_23,basic_ik,left_wrist_pitch_joint,12.195382487991626,403.3478735922976,508.1782123628541,5748.574084317198,0,0.0
111_23,basic_ik,left_wrist_yaw_joint,1.3213033278811644e-10,2.1520939843556044e-09,6.342719172396693e-09,5.97774175997681e-08,0,0.0
