method,metric,label,unit,direction,valid_motion_count,mean,median,standard_deviation,minimum,maximum,p95,confidence_interval_95_lower,confidence_interval_95_upper,total_motion_count,successful_motion_count,failed_motion_count,success_rate
basic_ik,root_trajectory_error_mean,Root trajectory error,m,lower,9,0.23524946185670348,0.28147994196215304,0.16771957171822938,0.010926784913158988,0.4800110652282691,0.4648700220424054,0.10632878654440062,0.36417013716900637,9,0,9,0.0
basic_ik,total_foot_sliding_distance,Foot sliding,m,lower,9,2.6467469534652075,2.025471506993118,1.7946868754742873,0.6586028783714857,5.971634323716007,5.254270043553193,1.2672285013850908,4.026265405545324,9,0,9,0.0
basic_ik,maximum_ground_penetration,Ground penetration,m,lower,9,0.06043230305937311,0.05434111572818495,0.023780245775955104,0.0360519967424579,0.1153385805173621,0.0999244645171207,0.04215318802753182,0.0787114180912144,9,0,9,0.0
basic_ik,self_collision_frame_ratio,Self-collision ratio,ratio,lower,9,0.6055091628833141,0.6512455516014235,0.31778020009067914,0.14939024390243902,1.0,0.9722991689750692,0.3612416777182763,0.849776648048352,9,0,9,0.0
basic_ik,joint_limit_violation_ratio,Joint-limit violation ratio,ratio,lower,9,0.9986449864498645,1.0,0.004065040650406507,0.9878048780487805,1.0,1.0,0.9955203195999944,1.0017696532997347,9,0,9,0.0
basic_ik,rms_joint_jerk,RMS joint jerk,rad/s^3,lower,9,1385.2173939212398,1264.746948385586,720.0679863833607,548.9675215603849,2736.318089215739,2552.547030546093,831.7241425118509,1938.7106453306287,9,0,9,0.0
basic_ik,discontinuity_frame_ratio,Discontinuity ratio,ratio,lower,9,0.06811950949317816,0.03225806451612903,0.08072229666063616,0.0035587188612099642,0.24496644295302014,0.20611030055442076,0.00607085952564336,0.13016815946071297,9,0,9,0.0
basic_ik,global_body_position_error_median,Global Body Position Error Median,,lower,9,1.3315548515395923,1.4460338288461174,0.5596608969960783,0.32465098888982363,2.010674013424182,1.9982810600997891,0.9013614039445825,1.761748299134602,9,0,9,0.0
basic_ik,global_body_position_error_std,Global Body Position Error Std,,lower,9,0.18017364718343637,0.16740185176758035,0.11086045898484487,0.0306173719648995,0.3651746999430643,0.34082431599833585,0.09495875490020833,0.2653885394666644,9,0,9,0.0
basic_ik,global_body_position_error_max,Global Body Position Error Max,,lower,9,1.6509674681958315,1.7068197803955556,0.6102733298704168,0.4339825769825398,2.3680477917585847,2.326874090559474,1.1818698607671658,2.120065075624497,9,0,9,0.0
basic_ik,global_body_position_error_p95,Global Body Position Error P95,,lower,9,1.5893986857421918,1.683351717585961,0.6056632595123873,0.41179062750774215,2.278493687023998,2.2497963677417885,1.1238446920832588,2.054952679401125,9,0,9,0.0
